file_name,name_gui,name_short,name_src,est_rt60,meas_rt60,fade_start,low_rt60,folder,version,gdrive_link,gain,f_crossover,order_crossover,noise_reduce,source_hrtf_dataset,source_hrtf_id,description,notes,source_dataset,citation,citation_link,high_fc,mid_fc,low_fc
reverberation_dataset_seminar_room_b,Seminar Room B,Seminar-Rm-B,seminar_room_b,750,710,800,Yes,est_bin,1.0.5,https://drive.google.com/file/d/17ZoUXPfypJTqMm7LL1YJW-u4rsWfSutz/view?usp=drive_link,-3.1,115,8,No,max,0,"Schiavoni room located at Dipartimento di Elettronica, Informazione e Bioingegneria of Politecnico di Milano",,HOMULA-RIR,"F. Miotello, ‘HOMULA-RIR: A Room Impulse Response Dataset for Teleconferencing and Spatial Audio Applications Acquired Through Higher-Order Microphones and Uniform Linear Microphone Arrays’. Zenodo, Jan. 10, 2024. doi: 10.5281/zenodo.10479726.",,No,No,No
reverberation_dataset_seminar_room_c,Seminar Room C,Seminar-Rm-C,seminar_room_c,700,705,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1kxCkN7O33QbuaEUd0rti_bhgugFEl3aO/view?usp=drive_link,-3.1,110,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,No
reverberation_dataset_seminar_room_d,Seminar Room D,Seminar-Rm-D,seminar_room_d,700,685,0,Yes,comp_bin,1.0.0,https://drive.google.com/file/d/1qP5fmdX3azzaY3cBvEKeNagnG6GMpU1e/view?usp=drive_link,-3.1,130,9,No,max,0,Mid-size lecture room at the Telefunken-building of TU Berlin,,Binaural room impulse responses recorded with KEMAR in a mid-size lecture hall,"H. Wierstorf and M. Geier, ‘Binaural room impulse responses recorded with KEMAR in a mid-size lecture hall’. Zenodo, Oct. 14, 2016. doi: 10.5281/zenodo.160749.",https://doi.org/10.5281/zenodo.160749 ,No,No,No
reverberation_dataset_small_room_a,Small Room A,Small-Rm-A,small_room_a,550,500,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1HSYQUNw0jB9ZAVQpmdRk9aTPgu1r3gen/view?usp=drive_link,-2.3,100,9,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_small_room_b,Small Room B,Small-Rm-B,small_room_b,550,437,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1ocsx5RxiCUv7rYybs5F8Je3L1n1FN8Ol/view?usp=drive_link,-2.3,100,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_small_room_c,Small Room C,Small-Rm-C,small_room_c,500,467,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1VbYdiwMQy24ec3XSsaFXQ6nCNee3HmRa/view?usp=drive_link,-2.3,110,9,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_small_room_d,Small Room D,Small-Rm-D,small_room_d,500,463,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1IXmSbHEYbWeM48gtc9u0sMeWTZu9w6jw/view?usp=drive_link,-2.3,110,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_small_room_e,Small Room E,Small-Rm-E,small_room_e,500,476,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1aiwMBW9l7svtFYwzdwPHhSpxv3afYCw2/view?usp=drive_link,-2.3,110,9,No,max,0,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_small_room_f,Small Room F,Small-Rm-F,small_room_f,500,474,0,Yes,est_bin,1.0.5,https://drive.google.com/file/d/19FvjxMnxFaQ2zFYTwucF1bh7xRpUYTdS/view?usp=drive_link,-2.3,110,9,No,max,1,Generalised/Virtual Room,Derived from multiple datasets,Derived from multiple datasets,,,No,No,Yes
reverberation_dataset_studio_a,Studio A,Studio-A,studio_a,400,398,550,Yes,est_bin,1.0.5,https://drive.google.com/file/d/1mkWRSBRbpghakjFXHuVJMaZmKS5i6_tj/view?usp=drive_link,-2.1,115,9,No,max,0,Studio live room ,Derived from rooms MV4 and MV5,BBC Maida Vale Impulse Response Dataset ,"Gavin Kearney, ‘BBC Maida Vale Impulse Response Dataset’, Acoustics, vol. 4, no. 3. Zenodo, pp. 783–799, Oct. 19, 2023. doi: 10.5281/zenodo.10020866.",,No,No,No
