id,file_name,label,name_gui,short_code,name_short,collection_1,collection_2,collection_3,meas_rt60,fade_start,low_rt60,f_crossover,order_crossover,version,folder,gdrive_link,alternative_link,ghub_link,description,notes,source_dataset,citation,citation_link,name_short_original,name_src_original
AS-011,AS-011,"Acoustics Lab, Aalto University","Acoustics Lab, Aalto University - AS-011",Ac-Lab,Ac-Lab-AS-011,Research Datasets,Low Reverberation,,539,700,Yes,100,9,1.0.5,datasets,,,,"Arni variable acoustics room at the Acoustics Lab, Aalto University, Espoo, Finland - 50% Absorbers",,Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis,"Thomas McKenzie, Leo McCormackand Christoph Hold, ‘Dataset of Spatial Room Impulse Responses in a Variable Acoustics Room for Six Degrees-of-Freedom Rendering and Analysis’. Zenodo, Mar. 24, 2022. doi: 10.5281/zenodo.6382405.",,Audio-Lab-I,audio_lab_i
AS-012,AS-012,"School room, EduRa","School room, EduRa - AS-012",School-Rm,School-Rm-AS-012,Research Datasets,,,1455,0,Yes,130,8,1.0.1,datasets,,,,School room from the EduRa database,,EduRa database,"Karin Loh, Julian Burger, Lukas Aspöckand Janina Fels, ‘EduRa database: room models based on room acoustic measurements in primary and preschools’. Zenodo, Aug. 02, 2021. doi: 10.5281/zenodo.5747086.",https://doi.org/10.5281/zenodo.5747086,Auditorium-A,auditorium_a
AS-013,AS-013,"Auditorium, openAIR","Auditorium, openAIR - AS-013",Auditorium,Auditorium-AS-013,openAIR Library,Low Reverberation,,346,0,Yes,100,9,1.0.6,datasets,,,,Arthur sykes rymer auditorium university york,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,Auditorium-B,auditorium_b
AS-014,AS-014,"Auditorium, ODEON","Auditorium, ODEON - AS-014",Auditorium,Auditorium-AS-014,Research Datasets,,,1213,0,Yes,90,9,1.0.6,datasets,,,,Auditorium 21 at the Technical University of Denmark (DTU),,ODEON Impulse response downloads,Attributed to https://odeon.dk/downloads/impulse-responses/#gsc.tab=0,https://odeon.dk/downloads/impulse-responses/#gsc.tab=0,Auditorium-C,auditorium_c
AS-015,AS-015,"Broadcast Studio, WDR","Broadcast Studio, WDR - AS-015",Bc-Studio,Bc-Studio-AS-015,Research Datasets,,,1183,1200,Yes,100,9,1.0.5,datasets,,,,WDR Broadcast Studios,Derived from rooms SBS and LBS,A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios,"Stade, Bernschützand Rühl, ‘A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios’. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3930833.",doi: 10.5281/zenodo.3930833.,Bc-Studio-A,broadcast_studio_a
AS-016,AS-016,"Broadcast Studio, WDR","Broadcast Studio, WDR - AS-016",Bc-Studio,Bc-Studio-AS-016,Research Datasets,,,1241,1200,Yes,100,9,1.0.5,datasets,,,,WDR Broadcast Studios,Derived from rooms SBS and LBS,A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios,"Stade, Bernschützand Rühl, ‘A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios’. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3930833.",doi: 10.5281/zenodo.3930833.,Bc-Studio-B,broadcast_studio_b
AS-017,AS-017,"Broadcast Studio, WDR","Broadcast Studio, WDR - AS-017",Bc-Studio,Bc-Studio-AS-017,Research Datasets,,,914,1200,Yes,100,9,1.0.0,datasets,,,,WDR Broadcast Studios,Derived from room SBS,A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios,"Stade, Bernschützand Rühl, ‘A Spatial Audio Impulse Response Compilation Captured at the WDR Broadcast Studios’. Zenodo, May 11, 2020. doi: 10.5281/zenodo.3930833.",doi: 10.5281/zenodo.3930833.,Bc-Studio-C,broadcast_studio_c
AS-018,AS-018,"Stone Monument, openAIR","Stone Monument, openAIR - AS-018",Monument,Monument-AS-018,openAIR Library,,,1408,0,Yes,100,9,1.0.5,datasets,,,,Tyndall Bruce Monument,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,Chamber-A,chamber_a
AS-019,AS-019,"Council Chamber, openAIR","Council Chamber, openAIR - AS-019",Chamber,Chamber-AS-019,openAIR Library,,,730,0,Yes,90,9,1.0.6,datasets,,,,York Guildhall Council Chamber,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,Chamber-B,chamber_b
AS-020,AS-020,"Classroom, PAN-AR","Classroom, PAN-AR - AS-020",Classroom,Classroom-AS-020,Research Datasets,,,1147,0,Yes,90,9,1.0.5,datasets,,,,Classroom,,"PAN-AR: A Multimodal Dataset of Higher-Order Ambisonics Room Impulse Responses, Ambient Noise and Spherical Pictures","F. Denti, D. Fantini, F. Avanziniand G. Presti, ‘PAN-AR: A Multimodal Dataset of Higher-Order Ambisonics Room Impulse Responses, Ambient Noise and Spherical Pictures’. Zenodo, Dec. 08, 2024. doi: 10.5281/zenodo.13134270.",https://doi.org/10.5281/zenodo.13134270,Classroom,classroom_a
AS-021,AS-021,"Opera House, OperaRIR","Opera House, OperaRIR - AS-021",Opera,Opera-AS-021,Research Datasets,,,1599,0,No,110,8,1.0.5,datasets,,,,Main auditorium of the Finnish National Opera and Ballet (FNOB),"a modern-shaped horseshoe opera hall located in Helsinki, Finland",OperaRIR dataset ,"Benoit Alary and Archontis Politis, ‘OperaRIR’. Zenodo, Jul. 07, 2023. doi: 10.5281/zenodo.8096639.",https://doi.org/10.5281/zenodo.8096639,Concert-Hall-A,concert_hall_a
AS-022,AS-022,"Concert Hall, openAIR","Concert Hall, openAIR - AS-022",Concert,Concert-AS-022,openAIR Library,,,1386,0,Yes,100,9,1.0.6,datasets,,,,Jack Lyons Concert Hall (University of York),,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,Concert-Hall-B,concert_hall_b
AS-023,AS-023,"Symphony Hall, openAIR","Symphony Hall, openAIR - AS-023",Hall,Hall-AS-023,openAIR Library,,,1526,0,Yes,100,9,1.0.5,datasets,,,,Usina del Arte Symphony Hall,,openAIR Library,Attributed to www.openairlib.net,https://www.openair.hosted.york.ac.uk/,Concert-Hall-C,concert_hall_c
AS-024,AS-024,"Concert Hall, Detmold","Concert Hall, Detmold - AS-024",Concert,Concert-AS-024,Research Datasets,,,1461,0,Yes,100,9,1.0.5,datasets,,,,"Detmold Konzerthaus (medium sized concert hall, ~600 seats).",,Open Database of Spatial Room Impulse Responses at Detmold University of Music,"Sebastia Vicenc Amengual Gari, Banu Sahin, Dusty Eddyand Malte Kob, ‘Open Database of Spatial Room Impulse Responses at Detmold University of Music’. Zenodo, Oct. 21, 2020. doi: 10.5281/zenodo.4116247.",https://doi.org/10.5281/zenodo.4116247,Concert-Hall-D,concert_hall_d
AS-025,AS-025,Small Conference Room,Small Conference Room - AS-025,Conference-Rm,Conference-Rm-AS-025,Research Datasets,Low Reverberation,,467,560,Yes,120,9,1.0.3,datasets,,,,Small conference room,,"Eigenmike-DRIRs, KEMAR 45BA-BRIRs, RIRs and 360° pictures captured at five positions of a small conference room","A. Neidhardt, C. Schneiderwind, F. Kleinand S. Fichna, ‘Dataset: Eigenmike-DRIRs, KEMAR 45BA-BRIRs, RIRs and 360° pictures captured at five positions of a small conference room’. Zenodo, Apr. 07, 2019. doi: 10.5281/zenodo.2593714.",https://doi.org/10.5281/zenodo.2593714,Conference-Rm-A,conference_room_a
AS-026,AS-026,"Conference Room, SOUNDCAM","Conference Room, SOUNDCAM - AS-026",Conference-Rm,Conference-Rm-AS-026,Research Datasets,Low Reverberation,,541,0,Yes,100,9,1.0.0,datasets,,,,untreated conference room with standard furniture ,,SOUNDCAM Dataset ,"Wang, M., Clarke, S., Wang, J., Gao, R., and Wu, J. (2023). SoundCam: A Dataset for Tasks in Tracking and Identifying Humans from Real Room Acoustics. Stanford Digital Repository. Available at https://purl.stanford.edu/xq364hd5023. ",https://doi.org/10.25740/xq364hd5023,Conference-Rm-B,conference_room_b
